
17-07-2017 08:42:20:990 - D: 	Executing bot with following commands ../../../../Bots/RaezorDroidV2/bin/Debug/bots/b\..\..\RaezorDroidV2.exe B "C:\AOC\Personal\entelect2017\Run\Runner\bin\Debug\Replays\2017-07-17 08-42-06-395\Phase 2 - Round 14\B" tournament
17-07-2017 08:42:20:990 - I: 	Executing process ../../../../Bots/RaezorDroidV2/bin/Debug/bots/b\..\..\RaezorDroidV2.exe B "C:\AOC\Personal\entelect2017\Run\Runner\bin\Debug\Replays\2017-07-17 08-42-06-395\Phase 2 - Round 14\B" tournament
17-07-2017 08:42:21:006 - I: 	Bot has 4000ms to run before it will be forcefully killed
17-07-2017 08:42:21:059 - I: 	Output from bot: Executing Bot with arguments: (B) (C:\AOC\Personal\entelect2017\Run\Runner\bin\Debug\Replays\2017-07-17 08-42-06-395\Phase 2 - Round 14\B) (tournament)
17-07-2017 08:42:21:206 - I: 	Output from bot: [RaezorDroid.Engine.Bot.RaezorBot] - Working Directory: C:\AOC\Personal\entelect2017\Run\Runner\bin\Debug\Replays\2017-07-17 08-42-06-395\Phase 2 - Round 14\B
17-07-2017 08:42:21:222 - I: 	Output from bot: [RaezorDroid.Engine.Bot.RaezorBot] - Make Move Started...
17-07-2017 08:42:21:222 - I: 	Output from bot: [RaezorDroid.Engine.Bot.RaezorBot] - Calculate Executing...
17-07-2017 08:42:21:222 - I: 	Output from bot: [RaezorDroid.Strategy.CalculationMode.RaezorCalculationMode] - LastCommandExecuted is NOT NULL...
17-07-2017 08:42:21:222 - I: 	Output from bot: [RaezorDroid.Engine.State.RZState] - EnemyKilled (False)
17-07-2017 08:42:21:222 - I: 	Output from bot: [RaezorDroid.Engine.State.RZState] - EnemyShipHit (True)
17-07-2017 08:42:21:222 - I: 	Output from bot: [RaezorDroid.Strategy.CalculationMode.RaezorCalculationMode] - EnemyShipHit...
17-07-2017 08:42:21:222 - I: 	Output from bot: [RaezorDroid.Engine.State.RZState] - ShotHitOnCell north found (4,1)
17-07-2017 08:42:21:222 - I: 	Output from bot: [RaezorDroid.Engine.State.RZState] - ShotHitOnCell east found (5,0)
17-07-2017 08:42:21:222 - I: 	Output from bot: [RaezorDroid.Engine.State.RZState] - ShotHitOnCell west found (3,0)
17-07-2017 08:42:21:222 - I: 	Output from bot: [RaezorDroid.Engine.Bot.RaezorBot] - Best Move Executing...
17-07-2017 08:42:21:238 - I: 	Output from bot: [RaezorDroid.Strategy.HuntMode.RaezorBasicHuntMode] - FirePriorityList Executing...
17-07-2017 08:42:21:238 - I: 	Output from bot: [RaezorDroid.Strategy.HuntMode.RaezorBasicHuntMode] - HighPriorityCells count (0)
17-07-2017 08:42:21:238 - I: 	Output from bot: [RaezorDroid.Strategy.HuntMode.RaezorBasicHuntMode] - MediumPriorityCells count (3)
17-07-2017 08:42:21:238 - I: 	Output from bot: [RaezorDroid.Strategy.HuntMode.RaezorBasicHuntMode] - LowPriorityCells count (0)
17-07-2017 08:42:21:238 - I: 	Output from bot: [RaezorDroid.Strategy.HuntMode.RaezorBasicHuntMode] - MediumPriorityCells found (4,2)
17-07-2017 08:42:21:238 - I: 	Output from bot: [RaezorDroid.Engine.Bot.RaezorBot] - Make Shot Executing...
17-07-2017 08:42:21:238 - I: 	Output from bot: [RaezorDroid.Engine.State.RZState] - MakeShot (4,2)
17-07-2017 08:42:21:238 - I: 	Output from bot: [RaezorDroid.Engine.Bot.RaezorBot] - Command: 1,4,2
17-07-2017 08:42:21:238 - I: 	Output from bot: [RaezorDroid.Engine.State.RZState] - MakeShot (4,2)
17-07-2017 08:42:21:260 - I: 	Output from bot: [RaezorDroid.Engine.Bot.RaezorBot] - Working Directory: C:\AOC\Personal\entelect2017\Run\Runner\bin\Debug\Replays\2017-07-17 08-42-06-395\Phase 2 - Round 14\B
17-07-2017 08:42:21:260 - I: 	Output from bot: [BOT]	Bot finished in 210 ms.
17-07-2017 08:42:21:260 - I: 	Output from bot: 
17-07-2017 08:42:21:260 - E: 	Output from bot: 
17-07-2017 08:42:21:276 - I: 	Your bots total execution time was 00:00:00.2710903
