
17-07-2017 08:43:15:438 - D: 	Executing bot with following commands ../../../../Bots/RaezorDroidV2/bin/Debug/bots/b\..\..\RaezorDroidV2.exe B "C:\AOC\Personal\entelect2017\Run\Runner\bin\Debug\Replays\2017-07-17 08-42-06-395\Phase 2 - Round 76\B" tournament
17-07-2017 08:43:15:438 - I: 	Executing process ../../../../Bots/RaezorDroidV2/bin/Debug/bots/b\..\..\RaezorDroidV2.exe B "C:\AOC\Personal\entelect2017\Run\Runner\bin\Debug\Replays\2017-07-17 08-42-06-395\Phase 2 - Round 76\B" tournament
17-07-2017 08:43:15:444 - I: 	Bot has 4000ms to run before it will be forcefully killed
17-07-2017 08:43:15:491 - I: 	Output from bot: Executing Bot with arguments: (B) (C:\AOC\Personal\entelect2017\Run\Runner\bin\Debug\Replays\2017-07-17 08-42-06-395\Phase 2 - Round 76\B) (tournament)
17-07-2017 08:43:15:675 - I: 	Output from bot: [RaezorDroid.Engine.Bot.RaezorBot] - Working Directory: C:\AOC\Personal\entelect2017\Run\Runner\bin\Debug\Replays\2017-07-17 08-42-06-395\Phase 2 - Round 76\B
17-07-2017 08:43:15:691 - I: 	Output from bot: [RaezorDroid.Engine.Bot.RaezorBot] - Make Move Started...
17-07-2017 08:43:15:691 - I: 	Output from bot: [RaezorDroid.Engine.Bot.RaezorBot] - Calculate Executing...
17-07-2017 08:43:15:691 - I: 	Output from bot: [RaezorDroid.Strategy.CalculationMode.RaezorCalculationMode] - LastCommandExecuted is NOT NULL...
17-07-2017 08:43:15:691 - I: 	Output from bot: [RaezorDroid.Engine.State.RZState] - EnemyKilled (False)
17-07-2017 08:43:15:691 - I: 	Output from bot: [RaezorDroid.Engine.State.RZState] - EnemyShipHit (False)
17-07-2017 08:43:15:691 - I: 	Output from bot: [RaezorDroid.Engine.Bot.RaezorBot] - Best Move Executing...
17-07-2017 08:43:15:707 - I: 	Output from bot: [RaezorDroid.Strategy.HuntMode.RaezorBasicHuntMode] - FirePriorityList Executing...
17-07-2017 08:43:15:707 - I: 	Output from bot: [RaezorDroid.Strategy.HuntMode.RaezorBasicHuntMode] - HighPriorityCells count (0)
17-07-2017 08:43:15:707 - I: 	Output from bot: [RaezorDroid.Strategy.HuntMode.RaezorBasicHuntMode] - MediumPriorityCells count (1)
17-07-2017 08:43:15:707 - I: 	Output from bot: [RaezorDroid.Strategy.HuntMode.RaezorBasicHuntMode] - LowPriorityCells count (0)
17-07-2017 08:43:15:707 - I: 	Output from bot: [RaezorDroid.Strategy.HuntMode.RaezorBasicHuntMode] - MediumPriorityCells found (9,6)
17-07-2017 08:43:15:707 - I: 	Output from bot: [RaezorDroid.Engine.Bot.RaezorBot] - Make Shot Executing...
17-07-2017 08:43:15:707 - I: 	Output from bot: [RaezorDroid.Engine.State.RZState] - MakeShot (9,6)
17-07-2017 08:43:15:707 - I: 	Output from bot: [RaezorDroid.Engine.Bot.RaezorBot] - Command: 1,9,6
17-07-2017 08:43:15:707 - I: 	Output from bot: [RaezorDroid.Engine.State.RZState] - MakeShot (9,6)
17-07-2017 08:43:15:744 - I: 	Output from bot: [RaezorDroid.Engine.Bot.RaezorBot] - Working Directory: C:\AOC\Personal\entelect2017\Run\Runner\bin\Debug\Replays\2017-07-17 08-42-06-395\Phase 2 - Round 76\B
17-07-2017 08:43:15:744 - I: 	Output from bot: [BOT]	Bot finished in 259 ms.
17-07-2017 08:43:15:760 - E: 	Output from bot: 
17-07-2017 08:43:15:760 - I: 	Output from bot: 
17-07-2017 08:43:15:760 - I: 	Your bots total execution time was 00:00:00.3242336
