
17-07-2017 08:42:46:850 - D: 	Executing bot with following commands ../../../../Bots/RaezorDroidV2/bin/Debug/bots/b\..\..\RaezorDroidV2.exe B "C:\AOC\Personal\entelect2017\Run\Runner\bin\Debug\Replays\2017-07-17 08-42-06-395\Phase 2 - Round 44\B" tournament
17-07-2017 08:42:46:850 - I: 	Executing process ../../../../Bots/RaezorDroidV2/bin/Debug/bots/b\..\..\RaezorDroidV2.exe B "C:\AOC\Personal\entelect2017\Run\Runner\bin\Debug\Replays\2017-07-17 08-42-06-395\Phase 2 - Round 44\B" tournament
17-07-2017 08:42:46:866 - I: 	Bot has 4000ms to run before it will be forcefully killed
17-07-2017 08:42:46:919 - I: 	Output from bot: Executing Bot with arguments: (B) (C:\AOC\Personal\entelect2017\Run\Runner\bin\Debug\Replays\2017-07-17 08-42-06-395\Phase 2 - Round 44\B) (tournament)
17-07-2017 08:42:47:119 - I: 	Output from bot: [RaezorDroid.Engine.Bot.RaezorBot] - Working Directory: C:\AOC\Personal\entelect2017\Run\Runner\bin\Debug\Replays\2017-07-17 08-42-06-395\Phase 2 - Round 44\B
17-07-2017 08:42:47:151 - I: 	Output from bot: [RaezorDroid.Engine.Bot.RaezorBot] - Make Move Started...
17-07-2017 08:42:47:151 - I: 	Output from bot: [RaezorDroid.Engine.Bot.RaezorBot] - Calculate Executing...
17-07-2017 08:42:47:151 - I: 	Output from bot: [RaezorDroid.Strategy.CalculationMode.RaezorCalculationMode] - LastCommandExecuted is NOT NULL...
17-07-2017 08:42:47:151 - I: 	Output from bot: [RaezorDroid.Engine.State.RZState] - EnemyKilled (False)
17-07-2017 08:42:47:151 - I: 	Output from bot: [RaezorDroid.Engine.State.RZState] - EnemyShipHit (True)
17-07-2017 08:42:47:151 - I: 	Output from bot: [RaezorDroid.Strategy.CalculationMode.RaezorCalculationMode] - EnemyShipHit...
17-07-2017 08:42:47:151 - I: 	Output from bot: [RaezorDroid.Engine.State.RZState] - ShotHitOnCell north found (2,6)
17-07-2017 08:42:47:151 - I: 	Output from bot: [RaezorDroid.Engine.State.RZState] - ShotHitOnCell east found (3,5)
17-07-2017 08:42:47:151 - I: 	Output from bot: [RaezorDroid.Engine.State.RZState] - ShotHitOnCell south found (2,4)
17-07-2017 08:42:47:151 - I: 	Output from bot: [RaezorDroid.Engine.State.RZState] - ShotHitOnCell west found (1,5)
17-07-2017 08:42:47:151 - I: 	Output from bot: [RaezorDroid.Engine.Bot.RaezorBot] - Best Move Executing...
17-07-2017 08:42:47:151 - I: 	Output from bot: [RaezorDroid.Strategy.HuntMode.RaezorBasicHuntMode] - FirePriorityList Executing...
17-07-2017 08:42:47:151 - I: 	Output from bot: [RaezorDroid.Strategy.HuntMode.RaezorBasicHuntMode] - HighPriorityCells count (0)
17-07-2017 08:42:47:151 - I: 	Output from bot: [RaezorDroid.Strategy.HuntMode.RaezorBasicHuntMode] - MediumPriorityCells count (5)
17-07-2017 08:42:47:151 - I: 	Output from bot: [RaezorDroid.Strategy.HuntMode.RaezorBasicHuntMode] - LowPriorityCells count (0)
17-07-2017 08:42:47:151 - I: 	Output from bot: [RaezorDroid.Strategy.HuntMode.RaezorBasicHuntMode] - MediumPriorityCells found (1,5)
17-07-2017 08:42:47:151 - I: 	Output from bot: [RaezorDroid.Engine.Bot.RaezorBot] - Make Shot Executing...
17-07-2017 08:42:47:151 - I: 	Output from bot: [RaezorDroid.Engine.State.RZState] - MakeShot (1,5)
17-07-2017 08:42:47:151 - I: 	Output from bot: [RaezorDroid.Engine.Bot.RaezorBot] - Command: 1,1,5
17-07-2017 08:42:47:151 - I: 	Output from bot: [RaezorDroid.Engine.State.RZState] - MakeShot (1,5)
17-07-2017 08:42:47:182 - I: 	Output from bot: [RaezorDroid.Engine.Bot.RaezorBot] - Working Directory: C:\AOC\Personal\entelect2017\Run\Runner\bin\Debug\Replays\2017-07-17 08-42-06-395\Phase 2 - Round 44\B
17-07-2017 08:42:47:182 - I: 	Output from bot: [BOT]	Bot finished in 265 ms.
17-07-2017 08:42:47:198 - I: 	Output from bot: 
17-07-2017 08:42:47:199 - E: 	Output from bot: 
17-07-2017 08:42:47:200 - I: 	Your bots total execution time was 00:00:00.3439717
